Transaction No,Customer ID,Date,Amount
61,skajan@comcast.net,22/12/16,243
62,skajan@comcast.net,01/03/17,243
63,galbra@icloud.com,08/02/17,234
64,ghost@mac.com,13/05/18,225
65,ghost@mac.com,12/07/18,225
66,magusnet@comcast.net,27/02/17,252
67,magusnet@comcast.net,28/04/17,252
68,hermanab@sbcglobal.net,13/01/18,195
69,hermanab@sbcglobal.net,14/03/18,195
70,bjoern@yahoo.com,14/09/16,273
71,jusdisgi@verizon.net,12/04/18,186
72,irving@comcast.net,18/02/17,192
73,irving@comcast.net,19/04/17,192
74,drewf@msn.com,29/06/18,261
75,drewf@msn.com,28/08/18,261
76,isorashi@comcast.net,26/06/18,111
77,isorashi@comcast.net,03/09/18,111
78,jbuchana@comcast.net,31/12/16,252
79,jbuchana@comcast.net,01/03/17,252
80,bescoto@msn.com,16/09/16,102
81,kohlis@comcast.net,10/11/17,291
82,sfoskett@verizon.net,23/11/17,111
83,sfoskett@verizon.net,22/01/18,111
84,bmidd@hotmail.com,05/04/18,162
85,bmidd@hotmail.com,04/06/18,162
86,wetter@verizon.net,17/10/16,255
87,wetter@verizon.net,16/12/16,255
88,cgreuter@live.com,06/11/17,237
89,cgreuter@live.com,14/01/18,237
90,leocharre@optonline.net,28/10/16,198
91,mcrawfor@gmail.com,27/06/18,129
92,mcrawfor@gmail.com,26/08/18,129
93,sherzodr@hotmail.com,10/12/17,147
94,gavinls@yahoo.ca,30/08/16,207
95,twoflower@gmail.com,06/11/16,177
96,gtaylor@gmail.com,26/12/17,249
97,gtaylor@gmail.com,05/03/18,249
98,dwendlan@yahoo.com,23/03/18,300
99,dwendlan@yahoo.com,22/05/18,300
100,granboul@me.com,07/10/16,183
101,granboul@me.com,06/12/16,183
102,padme@yahoo.com,01/06/18,99
103,padme@yahoo.com,31/07/18,99
104,microfab@att.net,05/03/17,285
105,kaiser@comcast.net,10/05/17,231
106,dartlife@hotmail.com,27/07/17,240
107,dartlife@hotmail.com,25/09/17,240
108,dleconte@live.com,29/04/18,252
109,dleconte@live.com,28/06/18,252
110,trieuvan@att.net,07/11/17,153
111,trieuvan@att.net,15/01/18,153
112,horrocks@att.net,14/10/17,201
113,horrocks@att.net,22/12/17,201
114,gboss@optonline.net,13/02/18,273
115,portele@me.com,18/04/18,183
116,portele@me.com,17/06/18,183
117,fudrucker@sbcglobal.net,07/07/18,150
118,fudrucker@sbcglobal.net,05/09/18,150
119,cumarana@yahoo.com,15/11/17,201
120,cumarana@yahoo.com,23/01/18,201
121,grothoff@outlook.com,28/10/17,276
122,nighthawk@icloud.com,14/09/16,204
123,nighthawk@icloud.com,22/11/16,204
124,nelson@hotmail.com,21/07/18,183
125,eidac@att.net,03/11/17,201
126,eidac@att.net,11/01/18,201
127,matthijs@hotmail.com,11/05/17,120
128,matthijs@hotmail.com,10/07/17,120
129,jaesenj@verizon.net,02/03/18,174
130,jaesenj@verizon.net,01/05/18,174
131,dimensio@gmail.com,04/08/17,222
132,inico@aol.com,26/06/17,222
133,inico@aol.com,25/08/17,222
134,mstrout@me.com,30/06/18,150
135,mstrout@me.com,29/08/18,150
136,vsprintf@att.net,20/08/17,276
137,vsprintf@att.net,19/10/17,276
138,pakaste@icloud.com,10/10/16,249
139,pakaste@icloud.com,09/12/16,249
140,ghaviv@hotmail.com,04/06/18,201
141,qrczak@aol.com,01/01/18,159
142,qrczak@aol.com,11/03/18,159
143,research@hotmail.com,04/05/17,102
144,research@hotmail.com,03/07/17,102
145,martyloo@optonline.net,11/07/17,297
146,martyloo@optonline.net,18/09/17,297
147,carreras@gmail.com,18/12/17,156
148,carreras@gmail.com,16/02/18,156
149,zwood@comcast.net,11/10/16,297
150,boftx@mac.com,09/04/17,273
151,boftx@mac.com,08/06/17,273
152,dexter@aol.com,12/02/18,129
153,moonlapse@verizon.net,28/10/16,114
154,kassiesa@mac.com,15/12/17,279
155,kassiesa@mac.com,13/02/18,279
156,fatelk@outlook.com,24/10/16,105
157,fatelk@outlook.com,23/12/16,105
158,debest@optonline.net,03/01/18,216
159,debest@optonline.net,13/03/18,216
160,grothoff@mac.com,31/10/17,195
161,grothoff@mac.com,30/12/17,195
162,chlim@aol.com,05/07/18,195
163,chlim@aol.com,03/09/18,195
164,mchugh@optonline.net,07/08/18,282
165,mchugh@optonline.net,06/10/18,282
166,wildixon@me.com,19/11/16,102
167,wildixon@me.com,27/01/17,102
168,imightb@me.com,12/10/16,258
169,dobey@hotmail.com,07/10/16,102
170,dobey@hotmail.com,06/12/16,102
171,dinther@hotmail.com,02/10/16,204
172,mschwartz@att.net,08/07/17,210
173,mschwartz@att.net,06/09/17,210
174,terjesa@verizon.net,29/12/17,300
175,terjesa@verizon.net,27/02/18,300
176,andrewik@optonline.net,26/01/17,117
177,andrewik@optonline.net,27/03/17,117
178,nanop@gmail.com,12/10/16,147
179,lbaxter@mac.com,02/07/18,222
180,lbaxter@mac.com,09/09/18,222
181,ranasta@me.com,25/02/18,261
182,ranasta@me.com,05/05/18,261
183,kildjean@sbcglobal.net,26/11/16,237
184,kildjean@sbcglobal.net,25/01/17,237
185,nelson@verizon.net,24/09/17,237
186,nelson@verizon.net,23/11/17,237
187,brainless@outlook.com,23/07/18,195
188,brainless@outlook.com,21/09/18,195
189,mhassel@aol.com,22/12/16,126
190,mhassel@aol.com,01/03/17,126
191,frostman@yahoo.ca,20/05/17,198
192,dougj@gmail.com,04/05/17,192
193,dougj@gmail.com,03/07/17,192
194,kalpol@icloud.com,26/09/17,216
195,techie@sbcglobal.net,09/07/18,138
196,techie@sbcglobal.net,07/09/18,138
197,evilopie@aol.com,06/02/17,123
198,evilopie@aol.com,07/04/17,123
199,errxn@comcast.net,18/02/17,246
200,errxn@comcast.net,19/04/17,246
201,madler@sbcglobal.net,22/12/16,297
202,madler@sbcglobal.net,01/03/17,297
203,starstuff@yahoo.ca,01/04/17,216
204,starstuff@yahoo.ca,09/06/17,216
205,skythe@gmail.com,02/07/18,270
206,skythe@gmail.com,31/08/18,270
207,hutton@gmail.com,17/01/17,162
208,hutton@gmail.com,18/03/17,162
209,mlewan@me.com,20/03/17,90
210,zeitlin@msn.com,11/08/18,162
211,zeitlin@msn.com,10/10/18,162
212,rohitm@msn.com,17/03/18,240
213,rohitm@msn.com,16/05/18,240
214,yenya@gmail.com,17/08/17,297
215,barlow@comcast.net,14/05/17,102
216,barlow@comcast.net,13/07/17,102
217,calin@mac.com,11/04/18,102
218,calin@mac.com,10/06/18,102
219,chinthaka@icloud.com,14/01/17,243
220,hutton@gmail.com,21/08/17,162
221,jadavis@me.com,11/06/17,171
222,jadavis@me.com,19/08/17,171
223,smartfart@me.com,02/05/17,210
224,smartfart@me.com,10/07/17,210
225,earmstro@yahoo.com,25/08/16,270
226,gbacon@aol.com,23/10/17,177
227,gbacon@aol.com,22/12/17,177
228,earmstro@yahoo.com,08/06/18,159
229,overbom@mac.com,04/07/17,186
230,overbom@mac.com,02/09/17,186
231,fglock@mac.com,20/12/17,282
232,noodles@me.com,18/12/16,204
233,noodles@me.com,25/02/17,204
234,afifi@me.com,13/02/18,198
235,afifi@me.com,23/04/18,198
236,tbeck@msn.com,17/02/17,288
237,tbeck@msn.com,18/04/17,288
238,sbmrjbr@gmail.com,18/07/17,285
239,sbmrjbr@gmail.com,16/09/17,285
240,kildjean@verizon.net,19/02/17,285
241,kildjean@verizon.net,29/04/17,285
242,temmink@yahoo.com,12/04/17,126
243,temmink@yahoo.com,11/06/17,126
244,bogjobber@msn.com,27/12/17,195
245,bogjobber@msn.com,06/03/18,195
246,tellis@sbcglobal.net,09/07/18,138
247,tellis@sbcglobal.net,16/09/18,138
248,vertigo@comcast.net,03/09/16,216
249,liedra@sbcglobal.net,16/11/17,99
250,liedra@sbcglobal.net,15/01/18,99
251,dmbkiwi@gmail.com,02/02/17,282
252,neonatus@comcast.net,15/05/17,285
253,neonatus@comcast.net,14/07/17,285
254,osrin@sbcglobal.net,22/05/18,282
255,bdbrown@aol.com,05/02/18,207
256,mailarc@verizon.net,10/01/17,111
257,mailarc@verizon.net,11/03/17,111
258,khris@msn.com,13/08/17,150
259,khris@msn.com,21/10/17,150
260,skythe@gmail.com,22/10/16,144
261,emmanuel@live.com,02/06/18,240
262,emmanuel@live.com,10/08/18,240
263,parasite@gmail.com,17/12/17,243
264,mailarc@outlook.com,29/12/17,153
265,mailarc@outlook.com,27/02/18,153
266,esokullu@aol.com,30/12/16,240
267,jramio@live.com,03/10/16,183
268,mschwartz@msn.com,11/09/17,231
269,mschwartz@msn.com,19/11/17,231
270,bulletin@verizon.net,20/12/16,234
271,bulletin@verizon.net,18/02/17,234
272,dinther@gmail.com,30/12/17,114
273,dinther@gmail.com,09/03/18,114
274,delpino@sbcglobal.net,25/03/17,144
275,doche@hotmail.com,12/07/17,135
276,doche@hotmail.com,10/09/17,135
277,sethbrown@me.com,29/05/17,96
278,fviegas@yahoo.ca,29/05/17,186
279,arnold@verizon.net,27/02/18,186
280,arnold@verizon.net,28/04/18,186
281,szymansk@outlook.com,05/05/18,231
282,szymansk@outlook.com,04/07/18,231
283,flaviog@yahoo.com,08/10/17,219
284,flaviog@yahoo.com,16/12/17,219
285,bjoern@att.net,09/02/17,144
286,fangorn@sbcglobal.net,06/12/17,285
287,fangorn@sbcglobal.net,04/02/18,285
288,gilmoure@yahoo.com,11/10/16,144
289,froodian@icloud.com,05/11/16,126
290,lydia@hotmail.com,02/08/17,177
291,lydia@hotmail.com,10/10/17,177
292,citadel@gmail.com,19/06/18,159
293,citadel@gmail.com,27/08/18,159
294,fmtbebuck@msn.com,15/02/17,186
295,rtanter@msn.com,31/12/17,186
296,donev@gmail.com,14/05/18,237
297,donev@gmail.com,13/07/18,237
298,arebenti@sbcglobal.net,30/10/17,105
299,amichalo@verizon.net,28/09/16,288
300,amichalo@verizon.net,27/11/16,288
301,sisyphus@yahoo.com,10/12/17,156
302,sisyphus@yahoo.com,08/02/18,156
303,petersko@verizon.net,19/02/18,120
304,petersko@verizon.net,20/04/18,120
305,weidai@aol.com,23/04/17,237
306,weidai@aol.com,22/06/17,237
307,sopwith@aol.com,13/11/16,108
308,sopwith@aol.com,12/01/17,108
309,kohlis@optonline.net,02/11/17,273
310,kohlis@optonline.net,01/01/18,273
311,zyghom@sbcglobal.net,24/07/17,237
312,zyghom@sbcglobal.net,01/10/17,237
313,aprakash@me.com,10/05/17,159
314,aprakash@me.com,09/07/17,159
315,mhouston@comcast.net,04/05/18,171
316,mhouston@comcast.net,03/07/18,171
317,mailarc@optonline.net,26/11/16,138
318,danzigism@me.com,03/05/18,261
319,danzigism@me.com,11/07/18,261
320,jrifkin@msn.com,21/03/18,243
321,jrifkin@msn.com,20/05/18,243
322,barnett@comcast.net,23/12/16,159
323,flaviog@sbcglobal.net,30/08/16,201
324,koudas@optonline.net,03/02/18,234
325,koudas@optonline.net,04/04/18,234
326,flavell@icloud.com,30/10/16,216
327,shaffei@verizon.net,21/10/16,129
328,fairbank@aol.com,28/09/16,204
329,kmself@msn.com,08/01/17,246
330,kmself@msn.com,18/03/17,246
331,bwcarty@att.net,02/10/16,204
332,pajas@icloud.com,06/02/17,213
333,pajas@icloud.com,07/04/17,213
334,parasite@msn.com,28/03/17,183
335,parasite@msn.com,27/05/17,183
336,alias@sbcglobal.net,17/05/17,159
337,seasweb@yahoo.ca,20/12/16,285
338,seasweb@yahoo.ca,18/02/17,285
339,hmbrand@mac.com,29/04/18,297
340,hmbrand@mac.com,07/07/18,297
341,claypool@comcast.net,10/12/16,234
342,claypool@comcast.net,08/02/17,234
343,hillct@hotmail.com,17/10/16,90
344,cameron@yahoo.ca,23/08/16,261
345,cameron@yahoo.ca,31/10/16,261
346,jeffcovey@gmail.com,27/02/18,246
347,jeffcovey@gmail.com,07/05/18,246
348,hoyer@live.com,13/06/18,201
349,hoyer@live.com,12/08/18,201
350,juerd@hotmail.com,13/11/16,255
351,juerd@hotmail.com,12/01/17,255
352,whimsy@icloud.com,03/08/17,282
353,whimsy@icloud.com,02/10/17,282
354,bogjobber@verizon.net,14/03/18,291
355,bogjobber@verizon.net,13/05/18,291
356,citadel@verizon.net,16/06/18,117
357,citadel@verizon.net,15/08/18,117
358,malvar@comcast.net,17/08/18,270
359,malvar@comcast.net,16/10/18,270
360,knorr@optonline.net,03/06/17,102
361,knorr@optonline.net,02/08/17,102
362,biglou@aol.com,12/06/18,273
363,biglou@aol.com,11/08/18,273
364,bmidd@verizon.net,26/08/16,231
365,mgemmons@hotmail.com,13/07/17,255
366,schwaang@yahoo.ca,24/05/17,267
367,schwaang@yahoo.ca,01/08/17,267
368,mcmillan@att.net,27/08/16,246
369,mcmillan@att.net,26/10/16,246
370,ninenine@mac.com,17/10/16,165
371,bartlett@optonline.net,22/07/18,153
372,bartlett@optonline.net,29/09/18,153
373,jaarnial@comcast.net,09/12/17,138
374,jaarnial@comcast.net,16/02/18,138
375,jimxugle@comcast.net,13/10/16,258
376,singer@hotmail.com,14/01/18,183
377,singer@hotmail.com,15/03/18,183
378,studyabr@me.com,11/02/17,129
379,studyabr@me.com,12/04/17,129
380,gfody@mac.com,03/12/17,249
381,gfody@mac.com,01/02/18,249
382,sbmrjbr@gmail.com,10/10/16,141
383,flaviog@att.net,11/09/17,192
384,flaviog@att.net,19/11/17,192
385,alfred@mac.com,25/07/18,270
386,alfred@mac.com,23/09/18,270
387,seurat@verizon.net,05/12/16,297
388,seurat@verizon.net,03/02/17,297
389,shaffei@att.net,25/08/16,186
390,shaffei@att.net,24/10/16,186
391,jipsen@live.com,11/10/16,105
392,jipsen@live.com,10/12/16,105
393,jusdisgi@aol.com,10/09/16,201
394,kuparine@msn.com,08/09/17,162
395,kuparine@msn.com,07/11/17,162
396,chinthaka@icloud.com,20/05/18,240
397,chinthaka@icloud.com,19/07/18,240
398,kmself@msn.com,02/02/17,258
399,kmself@msn.com,03/04/17,258
400,jgmyers@me.com,24/12/17,231
401,jgmyers@me.com,03/03/18,231
402,crobles@icloud.com,26/03/17,291
403,crobles@icloud.com,03/06/17,291
404,mobileip@yahoo.ca,03/09/16,180
405,mobileip@yahoo.ca,11/11/16,180
406,jacks@optonline.net,17/05/17,297
407,jacks@optonline.net,25/07/17,297
408,pakaste@icloud.com,28/08/17,168
409,khris@icloud.com,23/03/18,231
410,khris@icloud.com,22/05/18,231
411,paulv@sbcglobal.net,08/02/17,270
412,paulv@sbcglobal.net,18/04/17,270
413,north@sbcglobal.net,03/06/18,210
414,north@sbcglobal.net,02/08/18,210
415,sarahs@comcast.net,12/12/16,297
416,sarahs@comcast.net,19/02/17,297
417,amichalo@verizon.net,01/12/16,162
418,amichalo@verizon.net,30/01/17,162
419,linuxhack@verizon.net,22/12/16,270
420,linuxhack@verizon.net,20/02/17,270
421,isotopian@msn.com,21/03/17,90
422,froodian@aol.com,28/08/16,294
423,froodian@aol.com,27/10/16,294
424,lydia@yahoo.ca,12/10/18,186
425,hermes@outlook.com,29/09/16,267
426,hermes@outlook.com,28/11/16,267
427,lukka@outlook.com,11/02/18,252
428,ganter@aol.com,16/06/17,225
429,ganter@aol.com,24/08/17,225
430,jginspace@live.com,28/01/17,183
431,jginspace@live.com,07/04/17,183
432,rnewman@outlook.com,07/07/17,174
433,rnewman@outlook.com,05/09/17,174
434,brbarret@outlook.com,07/11/16,93
435,ryanshaw@verizon.net,05/09/17,189
436,ryanshaw@verizon.net,04/11/17,189
437,fviegas@yahoo.ca,23/02/18,240
438,fviegas@yahoo.ca,24/04/18,240
439,stevelim@msn.com,02/08/18,279
440,stevelim@msn.com,10/10/18,279
441,marcs@yahoo.com,28/09/16,255
442,presoff@me.com,30/11/17,165
443,presoff@me.com,29/01/18,165
444,floxy@verizon.net,20/04/18,180
445,floxy@verizon.net,28/06/18,180
446,osrin@optonline.net,28/12/17,273
447,osrin@optonline.net,07/03/18,273
448,geekoid@live.com,19/07/17,219
449,geekoid@live.com,17/09/17,219
450,violinhi@aol.com,23/04/17,129
451,tsuruta@comcast.net,01/10/16,150
452,tsuruta@comcast.net,09/12/16,150
453,bdbrown@att.net,11/09/17,162
454,bdbrown@att.net,19/11/17,162
455,vlefevre@me.com,26/12/16,231
456,vlefevre@me.com,24/02/17,231
457,ninenine@comcast.net,19/01/18,186
458,ninenine@comcast.net,20/03/18,186
459,rnelson@att.net,26/09/17,177
460,rnelson@att.net,04/12/17,177
461,wmszeliga@mac.com,24/12/16,234
462,wmszeliga@mac.com,22/02/17,234
463,jamuir@hotmail.com,03/10/17,168
464,jamuir@hotmail.com,02/12/17,168
465,hutton@aol.com,07/05/17,162
466,ralamosm@outlook.com,02/07/18,165
467,ralamosm@outlook.com,31/08/18,165
468,lstein@hotmail.com,01/03/18,300
469,fraterk@msn.com,20/09/17,228
470,fraterk@msn.com,19/11/17,228
471,stewwy@comcast.net,28/08/17,102
472,miturria@att.net,10/03/17,234
473,miturria@att.net,09/05/17,234
474,cvrcek@sbcglobal.net,29/08/17,129
475,cvrcek@sbcglobal.net,28/10/17,129
476,saridder@outlook.com,26/02/18,99
477,saridder@outlook.com,27/04/18,99
478,noticias@outlook.com,04/10/16,144
479,noticias@outlook.com,12/12/16,144
480,bockelboy@yahoo.com,19/11/16,150
481,bockelboy@yahoo.com,18/01/17,150
482,smallpaul@comcast.net,09/10/18,156
483,jbarta@msn.com,14/01/17,267
484,jbarta@msn.com,15/03/17,267
485,tkrotchko@att.net,12/12/17,156
486,tkrotchko@att.net,19/02/18,156
487,kwilliams@optonline.net,29/11/17,201
488,kwilliams@optonline.net,28/01/18,201
489,ducasse@msn.com,28/11/16,147
490,ducasse@msn.com,27/01/17,147
491,tellis@optonline.net,12/02/17,297
492,tellis@optonline.net,13/04/17,297
493,nachbaur@outlook.com,17/02/18,285
494,starstuff@yahoo.ca,15/07/18,108
495,starstuff@yahoo.ca,22/09/18,108
496,tubesteak@att.net,26/10/16,180
497,tubesteak@att.net,25/12/16,180
498,milton@msn.com,06/01/17,216
499,milton@msn.com,07/03/17,216
500,carcus@gmail.com,27/02/17,294
501,carcus@gmail.com,28/04/17,294
502,comdig@yahoo.ca,26/08/16,243
503,kdawson@icloud.com,26/08/17,195
504,kdawson@icloud.com,03/11/17,195
505,ozawa@outlook.com,12/05/17,252
506,ozawa@outlook.com,20/07/17,252
507,djpig@comcast.net,16/12/16,102
508,esbeck@yahoo.ca,05/09/17,168
509,esbeck@yahoo.ca,04/11/17,168
510,parents@gmail.com,09/10/16,246
511,irving@yahoo.ca,10/01/17,195
512,irving@yahoo.ca,11/03/17,195
513,conteb@msn.com,23/06/18,207
514,conteb@msn.com,31/08/18,207
515,dkasak@aol.com,22/01/18,258
516,nachbaur@yahoo.com,29/08/17,180
517,nachbaur@yahoo.com,06/11/17,180
518,rfoley@outlook.com,12/11/16,240
519,rfoley@outlook.com,20/01/17,240
520,bowmanbs@me.com,23/02/18,114
521,bowmanbs@me.com,24/04/18,114
522,bastian@mac.com,09/03/17,102
523,bastian@mac.com,08/05/17,102
524,pedwards@msn.com,25/02/18,264
525,pedwards@msn.com,26/04/18,264
526,kannan@optonline.net,15/08/17,138
527,kannan@optonline.net,14/10/17,138
528,frostman@live.com,25/08/18,246
529,frostman@live.com,24/10/18,246
530,tubesteak@optonline.net,06/09/16,147
531,yumpy@mac.com,01/07/17,90
532,yumpy@mac.com,30/08/17,90
533,andersbr@optonline.net,28/05/18,204
534,noneme@live.com,14/10/16,216
535,juerd@msn.com,12/03/18,237
536,juerd@msn.com,11/05/18,237
537,portele@me.com,15/10/16,198
538,portele@me.com,14/12/16,198
539,mlewan@mac.com,22/11/16,135
540,mlewan@mac.com,21/01/17,135
541,dobey@msn.com,15/07/17,150
542,dobey@msn.com,13/09/17,150
543,joglo@yahoo.ca,05/11/16,216
544,joglo@yahoo.ca,04/01/17,216
545,specprog@aol.com,22/01/17,294
546,uraeus@sbcglobal.net,12/12/16,297
547,uraeus@sbcglobal.net,19/02/17,297
548,dsugal@comcast.net,13/04/18,120
549,dsugal@comcast.net,12/06/18,120
550,kalpol@optonline.net,30/01/17,168
551,kalpol@optonline.net,31/03/17,168
552,hwestiii@yahoo.ca,26/08/18,291
553,hwestiii@yahoo.ca,25/10/18,291
554,fviegas@yahoo.ca,27/07/18,246
555,esasaki@live.com,22/06/18,165
556,esasaki@live.com,21/08/18,165
557,kourai@outlook.com,12/08/18,267
558,kourai@outlook.com,11/10/18,267
559,benits@verizon.net,07/04/17,297
560,benits@verizon.net,06/06/17,297
561,monopole@optonline.net,17/04/18,171
562,markjugg@verizon.net,07/10/16,249
563,markjugg@verizon.net,06/12/16,249
564,rhialto@hotmail.com,24/02/17,243
565,rhialto@hotmail.com,25/04/17,243
566,kingjoshi@yahoo.com,30/08/18,243
567,tjensen@optonline.net,30/12/17,168
568,tjensen@optonline.net,28/02/18,168
569,dkasak@aol.com,17/08/18,156
570,dkasak@aol.com,25/10/18,156
571,sjava@yahoo.com,11/12/17,189
572,sjava@yahoo.com,09/02/18,189
573,doormat@comcast.net,13/04/17,204
574,doormat@comcast.net,21/06/17,204
575,ahmad@sbcglobal.net,17/09/17,207
576,ahmad@sbcglobal.net,16/11/17,207
577,mgemmons@msn.com,23/12/17,291
578,mgemmons@msn.com,02/03/18,291
579,dkeeler@yahoo.ca,23/06/18,129
580,dkeeler@yahoo.ca,22/08/18,129
581,koudas@att.net,31/01/17,120
582,koudas@att.net,01/04/17,120
583,carreras@hotmail.com,22/09/17,147
584,pajas@att.net,18/03/17,270
585,rjones@aol.com,17/02/18,99
586,mxiao@comcast.net,20/10/17,279
587,mxiao@comcast.net,19/12/17,279
588,bflong@aol.com,19/09/18,204
589,burniske@msn.com,06/05/18,144
590,burniske@msn.com,05/07/18,144
591,noodles@outlook.com,15/02/17,264
592,noodles@outlook.com,16/04/17,264
593,tsuruta@att.net,26/12/17,267
594,tsuruta@att.net,24/02/18,267
595,quantaman@optonline.net,09/08/18,129
596,ahmad@sbcglobal.net,27/01/18,219
597,dartlife@yahoo.com,16/11/16,126
598,dartlife@yahoo.com,15/01/17,126
599,hahsler@gmail.com,20/06/18,243
600,imightb@verizon.net,05/05/18,225
601,imightb@verizon.net,13/07/18,225
602,lushe@gmail.com,30/09/16,150
603,phizntrg@optonline.net,23/08/18,288
604,phizntrg@optonline.net,31/10/18,288
605,mkearl@live.com,10/06/18,195
606,mkearl@live.com,18/08/18,195
607,isotopian@hotmail.com,16/07/17,216
608,isotopian@hotmail.com,14/09/17,216
609,maneesh@yahoo.com,29/12/16,237
610,maneesh@yahoo.com,08/03/17,237
611,bulletin@yahoo.ca,23/06/18,282
612,bulletin@yahoo.ca,22/08/18,282
613,unreal@comcast.net,13/09/16,144
614,jfinke@verizon.net,22/11/17,225
615,jfinke@verizon.net,30/01/18,225
616,calin@yahoo.com,23/12/17,132
617,ccohen@optonline.net,09/10/16,204
618,ccohen@optonline.net,08/12/16,204
619,hachi@live.com,16/10/17,171
620,hachi@live.com,15/12/17,171
621,dieman@sbcglobal.net,10/04/18,150
622,dieman@sbcglobal.net,09/06/18,150
623,sartak@outlook.com,08/06/17,93
624,sartak@outlook.com,07/08/17,93
625,jfmulder@att.net,09/12/17,255
626,jfmulder@att.net,16/02/18,255
627,neonatus@comcast.net,28/05/18,192
628,solomon@verizon.net,13/10/16,288
629,gommix@msn.com,01/07/18,105
630,gommix@msn.com,30/08/18,105
631,isorashi@comcast.net,15/02/17,225
632,isorashi@comcast.net,16/04/17,225
633,solomon@comcast.net,16/08/17,135
634,solomon@comcast.net,15/10/17,135
635,netsfr@optonline.net,02/12/17,219
636,vlefevre@icloud.com,09/02/17,99
637,vlefevre@icloud.com,19/04/17,99
638,chrisk@att.net,16/02/18,243
639,chrisk@att.net,17/04/18,243
640,krueger@att.net,01/09/16,141
641,krueger@att.net,09/11/16,141
642,webteam@aol.com,22/01/18,153
643,boftx@aol.com,03/03/18,210
644,boftx@aol.com,02/05/18,210
645,webteam@hotmail.com,28/08/16,246
646,pjacklam@sbcglobal.net,28/08/16,213
647,bdthomas@verizon.net,26/10/18,258
648,dunstan@comcast.net,31/05/18,276
649,dunstan@comcast.net,30/07/18,276
650,formis@yahoo.ca,29/10/18,126
651,dsowsy@sbcglobal.net,20/05/18,132
652,dsowsy@sbcglobal.net,19/07/18,132
653,gastown@comcast.net,24/08/17,285
654,gastown@comcast.net,23/10/17,285
655,jimmichie@optonline.net,11/04/17,135
656,jimmichie@optonline.net,19/06/17,135
657,forsberg@me.com,15/08/18,105
658,forsberg@me.com,14/10/18,105
659,tbusch@aol.com,08/08/17,249
660,tbusch@aol.com,16/10/17,249
661,north@sbcglobal.net,06/07/18,99
662,north@sbcglobal.net,04/09/18,99
663,naoya@outlook.com,03/06/17,228
664,munge@verizon.net,04/07/18,240
665,munge@verizon.net,11/09/18,240
666,bahwi@sbcglobal.net,13/02/18,165
667,bahwi@sbcglobal.net,14/04/18,165
668,bartlett@optonline.net,15/08/17,219
669,chrwin@comcast.net,30/12/17,150
670,chrwin@comcast.net,09/03/18,150
671,firstpr@outlook.com,09/11/16,282
672,firstpr@outlook.com,17/01/17,282
673,gator@comcast.net,07/12/16,240
674,tfinniga@yahoo.com,16/11/16,198
675,phizntrg@hotmail.com,02/02/17,180
